"Notes"	"County of Residence"	"County of Residence Code"	"Sex of Infant"	"Sex of Infant Code"	"NICU Admission"	"NICU Admission Code"	"OE Gestational Age Recode 10"	"OE Gestational Age Recode 10 Code"	Births	% of Total Births
	"Delaware County, IN"	"18035"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	21	0.00%
	"Hamilton County, IN"	"18057"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	21	0.00%
	"Hendricks County, IN"	"18063"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	21	0.00%
	"Hendricks County, IN"	"18063"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	21	0.00%
	"Madison County, IN"	"18095"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	21	0.00%
	"Monroe County, IN"	"18105"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	21	0.00%
	"Anderson County, SC"	"45007"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	21	0.00%
	"Richland County, SC"	"45079"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	21	0.00%
	"Richland County, SC"	"45079"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	21	0.00%
	"Pennington County, SD"	"46103"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	21	0.00%
	"Pennington County, SD"	"46103"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	21	0.00%
	"Blount County, TN"	"47009"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	21	0.00%
	"Hamilton County, TN"	"47065"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	21	0.00%
	"Hamilton County, TN"	"47065"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	21	0.00%
	"Sullivan County, TN"	"47163"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	21	0.00%
	"Sullivan County, TN"	"47163"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	21	0.00%
	"Washington County, TN"	"47179"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	21	0.00%
	"Washington County, TN"	"47179"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	21	0.00%
	"Comal County, TX"	"48091"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	21	0.00%
	"Fort Bend County, TX"	"48157"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	21	0.00%
	"Grayson County, TX"	"48181"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	21	0.00%
	"Jefferson County, TX"	"48245"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	21	0.00%
	"Tippecanoe County, IN"	"18157"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	21	0.00%
	"Tippecanoe County, IN"	"18157"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	21	0.00%
	"Johnson County, IA"	"19103"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	21	0.00%
	"Polk County, IA"	"19153"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	21	0.00%
	"Wyandotte County, KS"	"20209"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	21	0.00%
	"Boone County, KY"	"21015"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	21	0.00%
	"Fayette County, KY"	"21067"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	21	0.00%
	"Fayette County, KY"	"21067"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	21	0.00%
	"Caddo Parish, LA"	"22017"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	21	0.00%
	"East Baton Rouge Parish, LA"	"22033"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	21	0.00%
	"East Baton Rouge Parish, LA"	"22033"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	21	0.00%
	"St. Tammany Parish, LA"	"22103"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	21	0.00%
	"York County, ME"	"23031"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	21	0.00%
	"Anne Arundel County, MD"	"24003"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	21	0.00%
	"Baltimore County, MD"	"24005"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	21	0.00%
	"Charles County, MD"	"24017"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	21	0.00%
	"Potter County, TX"	"48375"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	21	0.00%
	"Cache County, UT"	"49005"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	21	0.00%
	"Weber County, UT"	"49057"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	21	0.00%
	"Chittenden County, VT"	"50007"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	21	0.00%
	"Fairfax County, VA"	"51059"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	21	0.00%
	"Henrico County, VA"	"51087"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	21	0.00%
	"Prince William County, VA"	"51153"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	21	0.00%
	"Spotsylvania County, VA"	"51177"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	21	0.00%
	"Hampton city, VA"	"51650"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	21	0.00%
	"Clark County, WA"	"53011"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	21	0.00%
	"Pierce County, WA"	"53053"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	21	0.00%
	"Snohomish County, WA"	"53061"	"Female"	"F"	"Yes"	"1"	"41 weeks"	"08"	21	0.00%
	"Dutchess County, NY"	"36027"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	21	0.00%
	"Nassau County, NY"	"36059"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	21	0.00%
	"Oswego County, NY"	"36075"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	21	0.00%
	"Suffolk County, NY"	"36103"	"Female"	"F"	"Yes"	"1"	"41 weeks"	"08"	21	0.00%
	"Buncombe County, NC"	"37021"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	21	0.00%
	"Catawba County, NC"	"37035"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	21	0.00%
	"Davidson County, NC"	"37057"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	21	0.00%
	"Norfolk County, MA"	"25021"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	22	0.00%
	"Calhoun County, MI"	"26025"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Eaton County, MI"	"26045"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Jackson County, MI"	"26075"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Monroe County, MI"	"26115"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"St. Clair County, MI"	"26147"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Wayne County, MI"	"26163"	"Male"	"M"	"Yes"	"1"	"41 weeks"	"08"	22	0.00%
	"Dakota County, MN"	"27037"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	22	0.00%
	"Ramsey County, MN"	"27123"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	22	0.00%
	"Yakima County, WA"	"53077"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Unidentified Counties, WA"	"53999"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	22	0.00%
	"Unidentified Counties, WV"	"54999"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	22	0.00%
	"Brown County, WI"	"55009"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	22	0.00%
	"Lee County, AL"	"01081"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Montgomery County, AL"	"01101"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	22	0.00%
	"Anchorage Borough, AK"	"02020"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Coconino County, AZ"	"04005"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Navajo County, AZ"	"04017"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Pima County, AZ"	"04019"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	22	0.00%
	"Pinal County, AZ"	"04021"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	22	0.00%
	"Faulkner County, AR"	"05045"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Faulkner County, AR"	"05045"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Alameda County, CA"	"06001"	"Male"	"M"	"Yes"	"1"	"41 weeks"	"08"	22	0.00%
	"Riverside County, CA"	"06065"	"Male"	"M"	"No"	"2"	"28 - 31 weeks"	"03"	22	0.00%
	"DeSoto County, MS"	"28033"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Harrison County, MS"	"28047"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Rankin County, MS"	"28121"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Unidentified Counties, MS"	"28999"	"Female"	"F"	"No"	"2"	"20 - 27 weeks"	"02"	22	0.00%
	"Unidentified Counties, MS"	"28999"	"Male"	"M"	"No"	"2"	"28 - 31 weeks"	"03"	22	0.00%
	"Unidentified Counties, NE"	"31999"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Hillsborough County, NH"	"33011"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	22	0.00%
	"Unidentified Counties, NH"	"33999"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Unidentified Counties, NH"	"33999"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Burlington County, NJ"	"34005"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	22	0.00%
	"Essex County, NJ"	"34013"	"Female"	"F"	"Yes"	"1"	"41 weeks"	"08"	22	0.00%
	"Gloucester County, NJ"	"34015"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	22	0.00%
	"Hunterdon County, NJ"	"34019"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Middlesex County, NJ"	"34023"	"Female"	"F"	"Yes"	"1"	"41 weeks"	"08"	22	0.00%
	"Middlesex County, NJ"	"34023"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	22	0.00%
	"San Bernardino County, CA"	"06071"	"Female"	"F"	"No"	"2"	"42 weeks or more"	"09"	22	0.00%
	"San Diego County, CA"	"06073"	"Female"	"F"	"No"	"2"	"28 - 31 weeks"	"03"	22	0.00%
	"Santa Barbara County, CA"	"06083"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Solano County, CA"	"06095"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	22	0.00%
	"Arapahoe County, CO"	"08005"	"Female"	"F"	"Unknown or Not Stated"	"9"	"37 - 39 weeks"	"06"	22	0.00%
	"Douglas County, CO"	"08035"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	22	0.00%
	"Litchfield County, CT"	"09005"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"Iredell County, NC"	"37097"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Pitt County, NC"	"37147"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Rowan County, NC"	"37159"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"Rowan County, NC"	"37159"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Rowan County, NC"	"37159"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Wayne County, NC"	"37191"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"Allen County, OH"	"39003"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"Butler County, OH"	"39017"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	22	0.00%
	"Clark County, OH"	"39023"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Columbiana County, OH"	"39029"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"Delaware County, OH"	"39041"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"Fairfield County, OH"	"39045"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"Lorain County, OH"	"39093"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	22	0.00%
	"Lucas County, OH"	"39095"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	22	0.00%
	"Portage County, OH"	"39133"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Richland County, OH"	"39139"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"Richland County, OH"	"39139"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Stark County, OH"	"39151"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Tulsa County, OK"	"40143"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	22	0.00%
	"Broward County, FL"	"12011"	"Female"	"F"	"Unknown or Not Stated"	"9"	"36 weeks"	"05"	22	0.00%
	"Citrus County, FL"	"12017"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Duval County, FL"	"12031"	"Male"	"M"	"No"	"2"	"42 weeks or more"	"09"	22	0.00%
	"Hillsborough County, FL"	"12057"	"Female"	"F"	"Yes"	"1"	"41 weeks"	"08"	22	0.00%
	"Hillsborough County, FL"	"12057"	"Male"	"M"	"No"	"2"	"20 - 27 weeks"	"02"	22	0.00%
	"Indian River County, FL"	"12061"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Lee County, FL"	"12071"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	22	0.00%
	"Orange County, FL"	"12095"	"Female"	"F"	"Yes"	"1"	"41 weeks"	"08"	22	0.00%
	"St. Lucie County, FL"	"12111"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	22	0.00%
	"Santa Rosa County, FL"	"12113"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Santa Rosa County, FL"	"12113"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Bibb County, GA"	"13021"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Carroll County, GA"	"13045"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Cobb County, GA"	"13067"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	22	0.00%
	"Cobb County, GA"	"13067"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	22	0.00%
	"Douglas County, GA"	"13097"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Douglas County, OR"	"41019"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Multnomah County, OR"	"41051"	"Male"	"M"	"No"	"2"	"42 weeks or more"	"09"	22	0.00%
	"Beaver County, PA"	"42007"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Bucks County, PA"	"42017"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	22	0.00%
	"Butler County, PA"	"42019"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Butler County, PA"	"42019"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Delaware County, PA"	"42045"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	22	0.00%
	"Lancaster County, PA"	"42071"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Lancaster County, PA"	"42071"	"Male"	"M"	"No"	"2"	"42 weeks or more"	"09"	22	0.00%
	"Lebanon County, PA"	"42075"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Lebanon County, PA"	"42075"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Lycoming County, PA"	"42081"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Mercer County, PA"	"42085"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Monroe County, PA"	"42089"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Montgomery County, PA"	"42091"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	22	0.00%
	"Washington County, PA"	"42125"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Westmoreland County, PA"	"42129"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"York County, PA"	"42133"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	22	0.00%
	"Unidentified Counties, PA"	"42999"	"Female"	"F"	"Unknown or Not Stated"	"9"	"37 - 39 weeks"	"06"	22	0.00%
	"Aiken County, SC"	"45003"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Lowndes County, GA"	"13185"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"Muscogee County, GA"	"13215"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Whitfield County, GA"	"13313"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"Hawaii County, HI"	"15001"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"Honolulu County, HI"	"15003"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	22	0.00%
	"Honolulu County, HI"	"15003"	"Male"	"M"	"Yes"	"1"	"41 weeks"	"08"	22	0.00%
	"Ada County, ID"	"16001"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	22	0.00%
	"DuPage County, IL"	"17043"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	22	0.00%
	"Kane County, IL"	"17089"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	22	0.00%
	"LaSalle County, IL"	"17099"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Madison County, IL"	"17119"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Will County, IL"	"17197"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	22	0.00%
	"Elkhart County, IN"	"18039"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Hamilton County, IN"	"18057"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Lake County, IN"	"18089"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	22	0.00%
	"Lake County, IN"	"18089"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"La Porte County, IN"	"18091"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"Beaufort County, SC"	"45013"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Pickens County, SC"	"45077"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Sumter County, SC"	"45085"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Minnehaha County, SD"	"46099"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Knox County, TN"	"47093"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	22	0.00%
	"Washington County, TN"	"47179"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Wilson County, TN"	"47189"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Brazos County, TX"	"48041"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Brazos County, TX"	"48041"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Cameron County, TX"	"48061"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	22	0.00%
	"Ector County, TX"	"48135"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	22	0.00%
	"Vigo County, IN"	"18167"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"Johnson County, KS"	"20091"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	22	0.00%
	"Johnson County, KS"	"20091"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	22	0.00%
	"Sedgwick County, KS"	"20173"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	22	0.00%
	"Shawnee County, KS"	"20177"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Wyandotte County, KS"	"20209"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Jefferson County, KY"	"21111"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	22	0.00%
	"Warren County, KY"	"21227"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Caddo Parish, LA"	"22017"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	22	0.00%
	"Jefferson Parish, LA"	"22051"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	22	0.00%
	"Livingston Parish, LA"	"22063"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Androscoggin County, ME"	"23001"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Penobscot County, ME"	"23019"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"Baltimore County, MD"	"24005"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	22	0.00%
	"Carroll County, MD"	"24013"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"Carroll County, MD"	"24013"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Cecil County, MD"	"24015"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Frederick County, MD"	"24021"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	22	0.00%
	"Potter County, TX"	"48375"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Williamson County, TX"	"48491"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	22	0.00%
	"Williamson County, TX"	"48491"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	22	0.00%
	"Unidentified Counties, VT"	"50999"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Fairfax County, VA"	"51059"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	22	0.00%
	"Stafford County, VA"	"51179"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Chesapeake city, VA"	"51550"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Richmond city, VA"	"51760"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	22	0.00%
	"Pierce County, WA"	"53053"	"Male"	"M"	"Unknown or Not Stated"	"9"	"40 weeks"	"07"	22	0.00%
	"Unidentified Counties, NJ"	"34999"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"San Juan County, NM"	"35045"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"San Juan County, NM"	"35045"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Bronx County, NY"	"36005"	"Male"	"M"	"Yes"	"1"	"41 weeks"	"08"	22	0.00%
	"Broome County, NY"	"36007"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	22	0.00%
	"Ontario County, NY"	"36069"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Rensselaer County, NY"	"36083"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"Richmond County, NY"	"36085"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	22	0.00%
	"Rockland County, NY"	"36087"	"Female"	"F"	"No"	"2"	"42 weeks or more"	"09"	22	0.00%
	"Saratoga County, NY"	"36091"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	22	0.00%
	"Saratoga County, NY"	"36091"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Brunswick County, NC"	"37019"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	22	0.00%
	"Brunswick County, NC"	"37019"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	22	0.00%
	"Washington County, MD"	"24043"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	23	0.00%
	"Unidentified Counties, MD"	"24999"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	23	0.00%
	"Bristol County, MA"	"25005"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	23	0.00%
	"Essex County, MA"	"25009"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	23	0.00%
	"Middlesex County, MA"	"25017"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	23	0.00%
	"Middlesex County, MA"	"25017"	"Male"	"M"	"Unknown or Not Stated"	"9"	"Unknown or Not Stated"	"10"	23	0.00%
	"Norfolk County, MA"	"25021"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	23	0.00%
	"Genesee County, MI"	"26049"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	23	0.00%
	"Livingston County, MI"	"26093"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	23	0.00%
	"Wayne County, MI"	"26163"	"Female"	"F"	"No"	"2"	"20 - 27 weeks"	"02"	23	0.00%
	"Unidentified Counties, MI"	"26999"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	23	0.00%
	"Olmsted County, MN"	"27109"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	23	0.00%
	"Ramsey County, MN"	"27123"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	23	0.00%
	"Scott County, MN"	"27139"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	23	0.00%
	"Berkeley County, WV"	"54003"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	23	0.00%
	"Unidentified Counties, WV"	"54999"	"Female"	"F"	"Unknown or Not Stated"	"9"	"37 - 39 weeks"	"06"	23	0.00%
	"Dane County, WI"	"55025"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	23	0.00%
