"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate	% of Total Births
	"Franklin County, OH"	"39049"	17143	1326063	12.93	0.48%
	"Greene County, OH"	"39057"	1721	169691	10.14	0.05%
	"Hamilton County, OH"	"39061"	10099	827058	12.21	0.28%
	"Lake County, OH"	"39085"	2082	231640	8.99	0.06%
	"Licking County, OH"	"39089"	1827	183201	9.97	0.05%
	"Lorain County, OH"	"39093"	3071	317910	9.66	0.09%
	"Lucas County, OH"	"39095"	4540	425484	10.67	0.13%
	"Mahoning County, OH"	"39099"	2272	225596	10.07	0.06%
	"Medina County, OH"	"39103"	1637	184042	8.89	0.05%
	"Miami County, OH"	"39109"	1109	110876	10.00	0.03%
	"Montgomery County, OH"	"39113"	6094	533796	11.42	0.17%
	"Portage County, OH"	"39133"	1323	162665	8.13	0.04%
	"Richland County, OH"	"39139"	1312	125064	10.49	0.04%
	"Stark County, OH"	"39151"	3968	372716	10.65	0.11%
	"Summit County, OH"	"39153"	5293	535733	9.88	0.15%
	"Trumbull County, OH"	"39155"	1907	200373	9.52	0.05%
	"Warren County, OH"	"39165"	2416	252148	9.58	0.07%
	"Wayne County, OH"	"39169"	1380	116510	11.84	0.04%
	"Wood County, OH"	"39173"	1268	132650	9.56	0.04%
	"Unidentified Counties, OH"	"39999"	28801	2685145	10.73	0.80%
	"Canadian County, OK"	"40017"	2077	175829	11.81	0.06%
	"Cleveland County, OK"	"40027"	2749	301193	9.13	0.08%
	"Comanche County, OK"	"40031"	1541	121574	12.68	0.04%
	"Oklahoma County, OK"	"40109"	10937	808866	13.52	0.30%
	"Tulsa County, OK"	"40143"	8593	682868	12.58	0.24%
	"Unidentified Counties, OK"	"40999"	22012	1963494	11.21	0.61%
	"Clackamas County, OR"	"41005"	3725	423173	8.80	0.10%
	"Deschutes County, OR"	"41017"	1802	208513	8.64	0.05%
	"Douglas County, OR"	"41019"	962	112435	8.56	0.03%
	"Jackson County, OR"	"41029"	2003	220768	9.07	0.06%
	"Lane County, OR"	"41039"	2865	381181	7.52	0.08%
	"Linn County, OR"	"41043"	1416	131496	10.77	0.04%
	"Marion County, OR"	"41047"	3862	346741	11.14	0.11%
	"Multnomah County, OR"	"41051"	6902	789698	8.74	0.19%
	"Washington County, OR"	"41067"	5895	598865	9.84	0.16%
	"Unidentified Counties, OR"	"41999"	8866	1020488	8.69	0.25%
	"Adams County, PA"	"42001"	913	106748	8.55	0.03%
	"Allegheny County, PA"	"42003"	11546	1224825	9.43	0.32%
	"Beaver County, PA"	"42007"	1461	165631	8.82	0.04%
	"Berks County, PA"	"42011"	4450	432821	10.28	0.12%
	"Blair County, PA"	"42013"	1123	120273	9.34	0.03%
	"Bucks County, PA"	"42017"	5545	645984	8.58	0.15%
	"Butler County, PA"	"42019"	1712	198413	8.63	0.05%
	"Cambria County, PA"	"42021"	1149	130668	8.79	0.03%
	"Centre County, PA"	"42027"	1093	157795	6.93	0.03%
	"Chester County, PA"	"42029"	5458	549784	9.93	0.15%
	"Cumberland County, PA"	"42041"	2625	270738	9.70	0.07%
	"Dauphin County, PA"	"42043"	3236	289234	11.19	0.09%
	"Delaware County, PA"	"42045"	6029	576720	10.45	0.17%
	"Erie County, PA"	"42049"	2376	267571	8.88	0.07%
	"Fayette County, PA"	"42051"	1119	123915	9.03	0.03%
	"Franklin County, PA"	"42055"	1710	157854	10.83	0.05%
	"Lackawanna County, PA"	"42069"	1965	216123	9.09	0.05%
	"Lancaster County, PA"	"42071"	6840	558589	12.25	0.19%
	"Lebanon County, PA"	"42075"	1532	144252	10.62	0.04%
	"Lehigh County, PA"	"42077"	3750	377754	9.93	0.10%
	"Luzerne County, PA"	"42079"	3159	327388	9.65	0.09%
	"Lycoming County, PA"	"42081"	1074	112724	9.53	0.03%
	"Mercer County, PA"	"42085"	1014	108503	9.35	0.03%
	"Monroe County, PA"	"42089"	1305	166053	7.86	0.04%
	"Montgomery County, PA"	"42091"	8300	868742	9.55	0.23%
	"Northampton County, PA"	"42095"	2747	319091	8.61	0.08%
	"Philadelphia County, PA"	"42101"	18371	1550542	11.85	0.51%
	"Schuylkill County, PA"	"42107"	1273	143786	8.85	0.04%
	"Washington County, PA"	"42125"	1918	210232	9.12	0.05%
	"Westmoreland County, PA"	"42129"	2819	351163	8.03	0.08%
	"York County, PA"	"42133"	4642	464640	9.99	0.13%
	"Unidentified Counties, PA"	"42999"	14697	1623127	9.05	0.41%
	"Kent County, RI"	"44003"	1433	171278	8.37	0.04%
	"Providence County, RI"	"44007"	6668	660615	10.09	0.19%
	"Washington County, RI"	"44009"	808	129982	6.22	0.02%
	"Unidentified Counties, RI"	"44999"	896	134087	6.68	0.02%
	"Aiken County, SC"	"45003"	1907	177130	10.77	0.05%
	"Anderson County, SC"	"45007"	2363	213076	11.09	0.07%
	"Beaufort County, SC"	"45013"	1894	198979	9.52	0.05%
	"Berkeley County, SC"	"45015"	3130	255217	12.26	0.09%
	"Charleston County, SC"	"45019"	4857	424367	11.45	0.14%
	"Dorchester County, SC"	"45035"	1991	169833	11.72	0.06%
	"Florence County, SC"	"45041"	1564	137214	11.40	0.04%
	"Greenville County, SC"	"45045"	6603	558036	11.83	0.18%
	"Horry County, SC"	"45051"	3372	397478	8.48	0.09%
	"Lexington County, SC"	"45063"	3136	309528	10.13	0.09%
	"Pickens County, SC"	"45077"	1203	135495	8.88	0.03%
	"Richland County, SC"	"45079"	4537	425138	10.67	0.13%
	"Spartanburg County, SC"	"45083"	4413	356698	12.37	0.12%
	"Sumter County, SC"	"45085"	1296	104165	12.44	0.04%
	"York County, SC"	"45091"	3007	298320	10.08	0.08%
	"Unidentified Counties, SC"	"45999"	12456	1212881	10.27	0.35%
	"Minnehaha County, SD"	"46099"	2749	206930	13.28	0.08%
	"Pennington County, SD"	"46103"	1367	115903	11.79	0.04%
	"Unidentified Counties, SD"	"46999"	7085	596485	11.88	0.20%
	"Blount County, TN"	"47009"	1294	141456	9.15	0.04%
	"Davidson County, TN"	"47037"	10305	712334	14.47	0.29%
	"Hamilton County, TN"	"47065"	4508	379864	11.87	0.13%
	"Knox County, TN"	"47093"	5524	500669	11.03	0.15%
	"Montgomery County, TN"	"47125"	3644	239872	15.19	0.10%
	"Rutherford County, TN"	"47149"	4645	367101	12.65	0.13%
	"Shelby County, TN"	"47157"	12073	910042	13.27	0.34%
	"Sullivan County, TN"	"47163"	1502	162135	9.26	0.04%
	"Sumner County, TN"	"47165"	2400	207994	11.54	0.07%
	"Washington County, TN"	"47179"	1251	138420	9.04	0.03%
	"Williamson County, TN"	"47187"	2159	264460	8.16	0.06%
	"Wilson County, TN"	"47189"	1959	163674	11.97	0.05%
	"Unidentified Counties, TN"	"47999"	31757	2938468	10.81	0.88%
	"Bell County, TX"	"48027"	5923	393193	15.06	0.16%
	"Bexar County, TX"	"48029"	26523	2087679	12.70	0.74%
	"Brazoria County, TX"	"48039"	4617	398938	11.57	0.13%
	"Brazos County, TX"	"48041"	2819	244703	11.52	0.08%
	"Cameron County, TX"	"48061"	5831	426710	13.67	0.16%
	"Collin County, TX"	"48085"	13116	1195359	10.97	0.36%
	"Comal County, TX"	"48091"	2057	193928	10.61	0.06%
	"Dallas County, TX"	"48113"	36922	2606358	14.17	1.03%
	"Denton County, TX"	"48121"	11557	1007703	11.47	0.32%
	"Ector County, TX"	"48135"	3011	164494	18.30	0.08%
	"Ellis County, TX"	"48139"	2865	222829	12.86	0.08%
	"El Paso County, TX"	"48141"	10731	869880	12.34	0.30%
	"Fort Bend County, TX"	"48157"	9455	916778	10.31	0.26%
	"Galveston County, TX"	"48167"	3891	361744	10.76	0.11%
	"Grayson County, TX"	"48181"	1871	146907	12.74	0.05%
	"Gregg County, TX"	"48183"	1600	126243	12.67	0.04%
	"Guadalupe County, TX"	"48187"	2144	188454	11.38	0.06%
	"Harris County, TX"	"48201"	65027	4835125	13.45	1.81%
	"Hays County, TX"	"48209"	3382	280486	12.06	0.09%
	"Hidalgo County, TX"	"48215"	13939	898471	15.51	0.39%
	"Jefferson County, TX"	"48245"	3114	251496	12.38	0.09%
	"Johnson County, TX"	"48251"	2647	202906	13.05	0.07%
	"Kaufman County, TX"	"48257"	2920	185690	15.73	0.08%
	"Lubbock County, TX"	"48303"	4001	320940	12.47	0.11%
	"McLennan County, TX"	"48309"	3387	268583	12.61	0.09%
	"Midland County, TX"	"48329"	3062	177108	17.29	0.09%
	"Montgomery County, TX"	"48339"	8824	711354	12.40	0.25%
	"Nueces County, TX"	"48355"	4196	352289	11.91	0.12%
	"Parker County, TX"	"48367"	1959	173494	11.29	0.05%
	"Potter County, TX"	"48375"	1516	114647	13.22	0.04%
	"Randall County, TX"	"48381"	1675	148255	11.30	0.05%
	"Smith County, TX"	"48423"	3080	245209	12.56	0.09%
	"Tarrant County, TX"	"48439"	27600	2182947	12.64	0.77%
	"Taylor County, TX"	"48441"	1991	146836	13.56	0.06%
	"Tom Green County, TX"	"48451"	1505	119057	12.64	0.04%
	"Travis County, TX"	"48453"	16212	1334961	12.14	0.45%
	"Webb County, TX"	"48479"	4407	269148	16.37	0.12%
	"Wichita County, TX"	"48485"	1489	130180	11.44	0.04%
	"Williamson County, TX"	"48491"	8441	697191	12.11	0.23%
	"Unidentified Counties, TX"	"48999"	58638	4905028	11.95	1.63%
	"Cache County, UT"	"49005"	1968	142393	13.82	0.05%
	"Davis County, UT"	"49011"	4697	373207	12.59	0.13%
	"Salt Lake County, UT"	"49035"	14211	1185813	11.98	0.40%
	"Utah County, UT"	"49049"	12050	719174	16.76	0.34%
	"Washington County, UT"	"49053"	2356	202452	11.64	0.07%
	"Weber County, UT"	"49057"	3327	271926	12.23	0.09%
	"Unidentified Counties, UT"	"49999"	6410	522769	12.26	0.18%
	"Chittenden County, VT"	"50007"	1333	169481	7.87	0.04%
	"Unidentified Counties, VT"	"50999"	3732	477983	7.81	0.10%
	"Arlington County, VA"	"51013"	2302	234162	9.83	0.06%
	"Chesterfield County, VA"	"51041"	4051	383876	10.55	0.11%
	"Fairfax County, VA"	"51059"	12063	1141878	10.56	0.34%
	"Henrico County, VA"	"51087"	3578	334760	10.69	0.10%
	"Loudoun County, VA"	"51107"	4585	436347	10.51	0.13%
	"Prince William County, VA"	"51153"	6111	489640	12.48	0.17%
	"Spotsylvania County, VA"	"51177"	1649	149588	11.02	0.05%
	"Stafford County, VA"	"51179"	1820	165428	11.00	0.05%
	"Alexandria city, VA"	"51510"	2192	155230	14.12	0.06%
	"Chesapeake city, VA"	"51550"	2734	253886	10.77	0.08%
	"Hampton city, VA"	"51650"	1445	137098	10.54	0.04%
	"Newport News city, VA"	"51700"	2377	183118	12.98	0.07%
	"Norfolk city, VA"	"51710"	2948	230930	12.77	0.08%
	"Richmond city, VA"	"51760"	2873	229247	12.53	0.08%
	"Virginia Beach city, VA"	"51810"	4837	453649	10.66	0.13%
	"Unidentified Counties, VA"	"51999"	37084	3736861	9.92	1.03%
	"Benton County, WA"	"53005"	2463	215219	11.44	0.07%
	"Clark County, WA"	"53011"	5487	521150	10.53	0.15%
	"Cowlitz County, WA"	"53015"	1203	112864	10.66	0.03%
	"King County, WA"	"53033"	22442	2271380	9.88	0.62%
	"Kitsap County, WA"	"53035"	2691	277658	9.69	0.07%
	"Pierce County, WA"	"53053"	10450	928696	11.25	0.29%
	"Skagit County, WA"	"53057"	1354	131417	10.30	0.04%
	"Snohomish County, WA"	"53061"	9876	844761	11.69	0.27%
	"Spokane County, WA"	"53063"	5706	551455	10.35	0.16%
	"Thurston County, WA"	"53067"	2840	299003	9.50	0.08%
	"Whatcom County, WA"	"53073"	1939	231919	8.36	0.05%
	"Yakima County, WA"	"53077"	3127	256643	12.18	0.09%
	"Unidentified Counties, WA"	"53999"	11354	1170715	9.70	0.32%
	"Berkeley County, WV"	"54003"	1523	132440	11.50	0.04%
	"Kanawha County, WV"	"54039"	1640	174805	9.38	0.05%
	"Unidentified Counties, WV"	"54999"	13443	1462826	9.19	0.37%
	"Brown County, WI"	"55009"	2951	271417	10.87	0.08%
	"Dane County, WI"	"55025"	5548	575347	9.64	0.15%
	"Fond du Lac County, WI"	"55039"	1032	103948	9.93	0.03%
	"Kenosha County, WI"	"55059"	1687	167488	10.07	0.05%
	"La Crosse County, WI"	"55063"	1107	120486	9.19	0.03%
	"Marathon County, WI"	"55073"	1414	138612	10.20	0.04%
	"Milwaukee County, WI"	"55079"	11550	916205	12.61	0.32%
	"Outagamie County, WI"	"55087"	1994	193234	10.32	0.06%
	"Racine County, WI"	"55101"	2028	196613	10.31	0.06%
	"Rock County, WI"	"55105"	1769	164278	10.77	0.05%
	"Sheboygan County, WI"	"55117"	1097	117752	9.32	0.03%
	"Walworth County, WI"	"55127"	907	105822	8.57	0.03%
	"Washington County, WI"	"55131"	1286	138168	9.31	0.04%
	"Waukesha County, WI"	"55133"	3644	412591	8.83	0.10%
	"Winnebago County, WI"	"55139"	1704	171735	9.92	0.05%
	"Unidentified Counties, WI"	"55999"	20036	2117259	9.46	0.56%
	"Unidentified Counties, WY"	"56999"	5990	584057	10.26	0.17%
"Total"			3596017	334914895	10.74	100.00%
"---"
"Dataset: Natality, 2016-2023 expanded"
"Query Parameters:"
"Year: 2023"
"Group By: County of Residence"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality-expanded.html for more information."
"---"
"Query Date: Nov 12, 2024 1:57:31 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2023, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Nov 12, 2024 1:57:31 PM"
"---"
Messages:
"1. Rows with zero Births are hidden, but the Total Population values in those rows are included in the totals. Use Quick Options"
"above to show zero rows."
"---"
Caveats:
"1. 'Not Available' appears when the denominator population for a rate measure is not available."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"4. Birth rates are calculated as the number of births divided by total population in the given year(s). When the numerator is"
"sub-set by mother's race, mother's hispanicity, location, or year of birth, then the same sub-set for age, race, hispanicity,"
"location and year applies to the denominator population."
"5. Please note that the Percent of Total presented here may not be consistent with percentages published by NCHS. NCHS excludes"
"births categorized as ""Unknown"", ""Not Stated"", and ""Not on Certificate"" from the denominator when calculating percentages."
"6. Connecticut population data for 2022-2023 are reported in the ""Unidentified counties"" row because population estimates for"
"Connecticut legacy counties are not available for 2022-2023. Birth and Fertility rate are not available for 2022-2023 because"
"legacy Connecticut counties population estimates are not available."
"7. Birth rates and fertility rates are calculated using the following populations: The populations for year 2023 are from the"
"postcensal single race series of July 1st estimates of the resident population, released by Census Bureau on June 27, 2024. The"
"2023 population estimates are based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count. The populations for year 2022 are from the postcensal single race series of July 1st estimates of the resident"
"population, released by Census Bureau on June 22, 2023. The 2022 population estimates are based on the Blended Base produced by"
"the US Census Bureau in lieu of the April 1, 2020 decennial population count. The populations for year 2021 are from the"
"postcensal single race series of July 1st estimates of the resident population, released by Census Bureau on June 30, 2022. The"
"2021 population estimates are based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count. The populations for year 2020 are from the postcensal single race series of July 1st estimates of the resident"
"population, released by Census Bureau on July 27, 2021. The populations for year 2019 are from the postcensal single race series"
"of July 1st estimates of the resident population, released by Census Bureau on June 25, 2020; The populations for year 2018 are"
"from the postcensal single race series of July 1st estimates of the resident population, released by Census Bureau on June 21,"
"2019; The populations for year 2017 are from the postcensal single race series of July 1st estimates of the resident population,"
"released by Census Bureau on June 21, 2018; The populations for year 2016 are from the postcensal single race series of July 1st"
"estimates of the resident population, released by Census Bureau on June 22, 2017. More information:"
"http://wonder.cdc.gov/wonder/help/Natality-expanded.html#Denominator-Population-Sources."
"8. The independent city of Baltimore, Maryland (FIPS code 24510) is reported separately from Baltimore County (FIPS code 24005)."
"9. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis County (FIPS code 29189)."
"10. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"11. Kings County, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"12. New York County, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"13. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"14. Richmond County, New York (FIPS code 36085) represents Staten Island Borough, New York City."
