"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate	Female Population	Fertility Rate	% of Total Births	Average Age of Mother (years)	Average OE Gestational Age (weeks)	Average LMP Gestational Age (weeks)	Average Birth Weight (grams)	Average Number of Prenatal Visits	Average Interval Since Last Live Birth (months)	Average Interval Since Last Other Pregnancy Outcome (months)
	"Tippecanoe County, IN"	"18157"	16701	1528126	10.93	368126	45.37	0.06%	28.37	38.36	38.48	3261.72	11.02	46.01	47.34
	"Vanderburgh County, IN"	"18163"	17210	1447750	11.89	288784	59.59	0.06%	27.62	38.05	38.20	3205.30	12.17	47.72	45.30
	"Vigo County, IN"	"18167"	9278	854632	10.86	171291	54.17	0.03%	26.85	38.17	38.25	3248.62	11.14	47.01	47.20
	"Unidentified Counties, IN"	"18999"	229613	19931363	11.52	3509486	65.43	0.77%	27.46	38.40	38.57	3298.10	11.47	44.95	45.58
	"Black Hawk County, IA"	"19013"	13067	1051087	12.43	224100	58.31	0.04%	28.40	38.43	38.68	3297.75	11.22	46.07	44.76
	"Johnson County, IA"	"19103"	13742	1220593	11.26	312358	43.99	0.05%	30.60	38.54	38.72	3319.33	10.93	43.41	37.16
	"Linn County, IA"	"19113"	21340	1813189	11.77	356607	59.84	0.07%	28.99	38.39	38.60	3323.11	12.21	46.33	47.94
	"Polk County, IA"	"19153"	52559	3930709	13.37	817655	64.28	0.18%	29.12	38.42	38.67	3319.67	11.73	46.68	43.61
	"Scott County, IA"	"19163"	16161	1386789	11.65	266756	60.58	0.05%	28.64	38.38	38.63	3309.39	12.71	47.32	51.10
	"Woodbury County, IA"	"19193"	11504	831221	13.84	160848	71.52	0.04%	27.86	38.27	38.38	3273.00	11.77	48.88	55.07
	"Unidentified Counties, IA"	"19999"	170401	15122192	11.27	2656320	64.15	0.57%	28.41	38.44	38.66	3344.87	11.52	44.50	44.52
	"Douglas County, KS"	"20045"	8534	966338	8.83	248667	34.32	0.03%	29.49	38.43	38.47	3299.96	11.63	47.64	44.83
	"Johnson County, KS"	"20091"	56324	4837456	11.64	956943	58.86	0.19%	30.76	38.49	38.55	3335.38	11.61	44.35	40.68
	"Sedgwick County, KS"	"20173"	53921	4153060	12.98	829750	64.98	0.18%	28.01	38.29	38.29	3273.64	10.84	47.75	47.00
	"Shawnee County, KS"	"20177"	16231	1420196	11.43	264878	61.28	0.05%	27.79	38.24	38.32	3275.55	11.07	48.20	48.79
	"Wyandotte County, KS"	"20209"	19971	1323210	15.09	268342	74.42	0.07%	27.45	38.26	38.25	3207.97	9.96	51.53	47.07
	"Unidentified Counties, KS"	"20999"	128794	10671054	12.07	1945200	66.21	0.43%	27.68	38.40	38.43	3299.59	10.83	46.01	44.35
	"Boone County, KY"	"21015"	13556	1076775	12.59	205845	65.86	0.05%	29.11	38.35	38.64	3305.64	11.18	45.16	47.97
	"Fayette County, KY"	"21067"	30452	2574369	11.83	585138	52.04	0.10%	29.20	38.24	38.38	3237.52	11.98	49.62	44.75
	"Hardin County, KY"	"21093"	11054	883752	12.51	168840	65.47	0.04%	27.44	38.24	38.50	3265.60	10.29	48.18	43.28
	"Jefferson County, KY"	"21111"	77034	6164653	12.50	1227327	62.77	0.26%	28.76	38.26	38.55	3237.31	11.58	50.18	46.89
	"Kenton County, KY"	"21117"	17719	1342471	13.20	264399	67.02	0.06%	28.64	38.29	38.56	3261.95	10.95	44.55	49.59
	"Warren County, KY"	"21227"	14033	1072331	13.09	243053	57.74	0.05%	28.01	38.31	38.42	3263.55	10.39	48.08	42.00
	"Unidentified Counties, KY"	"21999"	261525	22737996	11.50	4125006	63.40	0.88%	26.92	38.15	38.42	3256.28	11.69	47.22	45.28
	"Ascension Parish, LA"	"22005"	13494	1014935	13.30	208203	64.81	0.05%	28.78	38.15	38.19	3214.28	10.82	51.76	42.08
	"Bossier Parish, LA"	"22015"	13209	1023405	12.91	207007	63.81	0.04%	27.79	37.88	38.01	3163.42	11.29	50.76	42.11
	"Caddo Parish, LA"	"22017"	24121	1904540	12.67	373687	64.55	0.08%	27.26	37.66	37.65	3059.16	10.69	50.67	44.01
	"Calcasieu Parish, LA"	"22019"	22327	1624365	13.75	322418	69.25	0.07%	27.18	38.03	38.12	3163.08	9.53	48.04	47.04
	"East Baton Rouge Parish, LA"	"22033"	45869	3566361	12.86	806105	56.90	0.15%	28.17	38.03	38.08	3124.22	10.24	51.06	43.75
	"Jefferson Parish, LA"	"22051"	44220	3455798	12.80	660135	66.99	0.15%	28.77	38.18	38.33	3177.15	12.11	55.42	45.43
	"Lafayette Parish, LA"	"22055"	26406	1959394	13.48	415636	63.53	0.09%	28.29	38.23	38.39	3218.02	14.29	50.04	43.22
	"Livingston Parish, LA"	"22063"	14748	1146859	12.86	235856	62.53	0.05%	27.65	38.18	38.27	3242.60	10.76	52.11	41.95
	"Orleans Parish, LA"	"22071"	35185	3066269	11.47	692132	50.84	0.12%	29.40	38.11	38.28	3115.57	11.63	54.27	47.34
	"Ouachita Parish, LA"	"22073"	16428	1247088	13.17	257380	63.83	0.05%	27.00	37.78	37.86	3094.64	10.69	49.50	45.25
	"Rapides Parish, LA"	"22079"	13384	1034952	12.93	198071	67.57	0.04%	26.88	37.98	35.91	3137.67	10.81	50.31	50.20
	"St. Tammany Parish, LA"	"22103"	23462	2110139	11.12	387547	60.54	0.08%	29.27	38.24	38.42	3248.97	11.35	51.70	48.54
	"Tangipahoa Parish, LA"	"22105"	15540	1078836	14.40	224361	69.26	0.05%	27.26	38.14	38.26	3177.04	10.81	50.06	45.88
	"Terrebonne Parish, LA"	"22109"	11303	873757	12.94	169280	66.77	0.04%	27.16	37.97	38.18	3167.29	12.40	52.08	50.64
	"Unidentified Counties, LA"	"22999"	149227	12001428	12.43	2228650	66.96	0.50%	26.86	37.99	37.98	3158.77	11.65	49.89	45.64
	"Androscoggin County, ME"	"23001"	9402	877295	10.72	162881	57.72	0.03%	28.66	38.59	38.77	3301.93	11.38	47.17	47.20
	"Cumberland County, ME"	"23005"	22284	2394124	9.31	457173	48.74	0.07%	31.39	38.62	38.75	3340.69	12.36	44.88	41.82
	"Kennebec County, ME"	"23011"	8851	987015	8.97	174037	50.86	0.03%	28.60	38.55	38.82	3320.66	12.62	49.11	42.48
	"Penobscot County, ME"	"23019"	10594	1220443	8.68	228468	46.37	0.04%	28.71	38.45	38.49	3336.11	13.29	48.09	41.27
	"York County, ME"	"23031"	14645	1679379	8.72	290454	50.42	0.05%	29.84	38.57	38.77	3332.78	12.23	47.38	44.28
	"Unidentified Counties, ME"	"23999"	30582	3695196	8.28	579933	52.73	0.10%	28.43	38.60	38.82	3333.37	12.62	48.73	46.31
	"Anne Arundel County, MD"	"24003"	54697	4657827	11.74	902649	60.60	0.18%	30.64	38.48	38.68	3296.48	10.56	49.11	44.73
	"Baltimore County, MD"	"24005"	76240	6685492	11.40	1328110	57.40	0.26%	30.07	38.34	38.49	3233.75	10.70	53.17	45.33
	"Carroll County, MD"	"24013"	13621	1367222	9.96	240268	56.69	0.05%	30.49	38.59	38.81	3369.83	10.73	43.98	40.14
	"Cecil County, MD"	"24015"	9132	828968	11.02	151754	60.18	0.03%	28.61	38.43	38.71	3319.37	10.73	49.70	50.89
	"Charles County, MD"	"24017"	14601	1317374	11.08	260807	55.98	0.05%	29.67	38.33	38.44	3224.23	10.40	55.23	52.50
	"Frederick County, MD"	"24021"	23897	2140274	11.17	412607	57.92	0.08%	30.63	38.56	38.78	3331.64	11.37	49.49	43.62
	"Harford County, MD"	"24025"	21129	2060882	10.25	380493	55.53	0.07%	30.24	38.46	38.65	3322.44	11.50	50.38	48.27
	"Howard County, MD"	"24027"	26558	2621373	10.13	511751	51.90	0.09%	31.92	38.41	38.57	3252.91	10.68	48.74	41.52
	"Montgomery County, MD"	"24031"	96254	8423566	11.43	1617786	59.50	0.32%	31.87	38.49	38.60	3277.39	11.09	52.36	46.67
	"Prince George's County, MD"	"24033"	92286	7398759	12.47	1508039	61.20	0.31%	29.82	38.35	38.43	3210.32	10.11	57.96	53.57
	"St. Mary's County, MD"	"24037"	10997	910741	12.07	180622	60.88	0.04%	29.23	38.59	38.82	3358.10	11.13	47.57	50.70
	"Washington County, MD"	"24043"	13166	1220331	10.79	211152	62.35	0.04%	28.35	38.37	38.59	3270.80	11.34	49.96	43.14
	"Baltimore city, MD"	"24510"	60424	4720096	12.80	1095493	55.16	0.20%	28.75	38.19	38.33	3128.94	10.02	56.44	45.51
	"Unidentified Counties, MD"	"24999"	44248	4369961	10.13	777839	56.89	0.15%	28.75	38.49	38.73	3290.68	11.34	51.31	48.73
	"Barnstable County, MA"	"25001"	12054	1763890	6.83	234887	51.32	0.04%	30.99	38.76	38.95	3363.44	11.30	49.51	39.11
	"Berkshire County, MA"	"25003"	7557	1012413	7.46	171357	44.10	0.03%	29.67	38.61	38.79	3263.76	11.45	51.80	44.03
	"Bristol County, MA"	"25005"	44908	4557884	9.85	870440	51.59	0.15%	29.83	38.55	38.74	3258.19	12.04	54.61	42.74
	"Essex County, MA"	"25009"	67607	6359086	10.63	1200886	56.30	0.23%	30.62	38.61	38.82	3303.82	11.36	53.39	40.62
	"Hampden County, MA"	"25013"	38544	3723099	10.35	735347	52.42	0.13%	28.84	38.48	38.65	3256.95	10.77	54.47	43.84
	"Hampshire County, MA"	"25015"	7588	1293898	5.86	324814	23.36	0.03%	31.47	38.78	38.88	3350.15	11.63	48.57	36.56
	"Middlesex County, MA"	"25017"	130456	12884312	10.13	2680730	48.66	0.44%	32.30	38.65	38.85	3298.24	11.54	48.60	37.89
	"Norfolk County, MA"	"25021"	56809	5696584	9.97	1108228	51.26	0.19%	32.62	38.62	38.79	3309.40	11.61	45.43	37.43
	"Plymouth County, MA"	"25023"	41640	4193159	9.93	739570	56.30	0.14%	31.35	38.61	38.75	3332.90	11.89	49.43	40.60
	"Suffolk County, MA"	"25025"	69632	6300961	11.05	1680185	41.44	0.23%	31.27	38.58	38.73	3248.65	11.15	57.68	45.44
	"Worcester County, MA"	"25027"	67947	6728200	10.10	1292588	52.57	0.23%	30.28	38.56	38.76	3292.61	11.45	51.78	37.28
	"Unidentified Counties, MA"	"25999"	6745	814434	8.28	135256	49.87	0.02%	30.90	38.87	38.95	3362.76	12.34	53.05	39.17
	"Allegan County, MI"	"26005"	10211	950429	10.74	168118	60.74	0.03%	28.46	38.50	38.66	3358.28	11.71	43.49	45.59
	"Bay County, MI"	"26017"	7572	826728	9.16	143132	52.90	0.03%	28.11	38.66	38.80	3325.68	12.75	47.88	39.58
	"Berrien County, MI"	"26021"	12676	1227098	10.33	213596	59.35	0.04%	28.13	38.55	38.71	3281.55	11.29	46.65	49.34
	"Calhoun County, MI"	"26025"	12015	1071214	11.22	198555	60.51	0.04%	27.40	38.53	38.74	3263.59	12.83	46.93	48.25
	"Eaton County, MI"	"26045"	8592	875185	9.82	160569	53.51	0.03%	28.65	38.53	38.69	3301.36	13.70	45.59	39.70
	"Genesee County, MI"	"26049"	35802	3241212	11.05	603018	59.37	0.12%	27.68	38.20	38.40	3206.71	11.73	48.26	44.40
	"Ingham County, MI"	"26065"	24134	2306766	10.46	555949	43.41	0.08%	28.78	38.48	38.63	3255.44	13.25	46.11	40.36
	"Jackson County, MI"	"26075"	13439	1270893	10.57	218431	61.53	0.04%	27.66	38.43	38.65	3275.95	11.95	45.45	45.34
	"Kalamazoo County, MI"	"26077"	22983	2105059	10.92	466858	49.23	0.08%	28.84	38.62	38.71	3311.30	13.74	45.56	48.43
	"Kent County, MI"	"26081"	66727	5238699	12.74	1098607	60.74	0.22%	29.16	38.42	38.60	3282.04	12.83	44.86	43.31
	"Livingston County, MI"	"26093"	13770	1541761	8.93	259688	53.03	0.05%	30.58	38.55	38.79	3357.69	13.13	41.13	45.13
	"Macomb County, MI"	"26099"	71780	6984715	10.28	1304834	55.01	0.24%	29.58	38.31	38.44	3240.55	12.10	47.88	44.19
	"Monroe County, MI"	"26115"	11935	1216292	9.81	212638	56.13	0.04%	28.60	38.35	38.51	3305.52	12.49	46.34	45.92
	"Muskegon County, MI"	"26121"	15733	1397778	11.26	255509	61.58	0.05%	27.40	38.22	38.47	3226.80	10.55	47.97	42.85
	"Oakland County, MI"	"26125"	102631	10074924	10.19	1867436	54.96	0.34%	30.78	38.48	38.54	3276.35	13.02	44.75	44.33
	"Ottawa County, MI"	"26139"	25394	2348994	10.81	488652	51.97	0.08%	29.31	38.51	38.70	3367.73	11.57	42.21	39.85
	"Saginaw County, MI"	"26145"	16506	1521170	10.85	278936	59.17	0.06%	27.71	38.54	38.42	3219.71	11.44	47.69	44.69
	"St. Clair County, MI"	"26147"	11937	1276773	9.35	214551	55.64	0.04%	28.25	38.41	38.70	3314.80	11.29	46.69	46.48
	"Washtenaw County, MI"	"26161"	27120	2938675	9.23	684061	39.65	0.09%	30.95	38.53	38.71	3285.68	13.50	44.70	45.00
	"Wayne County, MI"	"26163"	176190	14029869	12.56	2769034	63.63	0.59%	28.50	38.25	38.36	3166.68	11.18	50.61	46.24
	"Unidentified Counties, MI"	"26999"	166011	17517889	9.48	2907319	57.10	0.56%	28.07	38.58	38.78	3333.29	11.63	44.70	43.99
	"Anoka County, MN"	"27003"	33041	2876308	11.49	542666	60.89	0.11%	30.30	38.59	38.77	3345.35	11.22	45.81	46.30
	"Dakota County, MN"	"27037"	40431	3458307	11.69	662372	61.04	0.14%	30.70	38.59	38.79	3344.04	12.02	45.63	46.43
	"Hennepin County, MN"	"27053"	121967	10064436	12.12	2114089	57.69	0.41%	31.06	38.62	38.75	3300.62	11.56	45.44	45.69
	"Olmsted County, MN"	"27109"	16101	1274140	12.64	255259	63.08	0.05%	30.39	38.68	38.75	3340.76	9.80	43.65	41.79
	"Ramsey County, MN"	"27123"	56690	4352802	13.02	930157	60.95	0.19%	29.95	38.60	38.78	3278.33	11.23	46.11	47.05
	"St. Louis County, MN"	"27137"	14777	1596570	9.26	301168	49.07	0.05%	29.06	38.58	38.82	3350.17	11.46	44.55	47.10
	"Scott County, MN"	"27139"	13804	1200192	11.50	235919	58.51	0.05%	30.84	38.58	38.75	3365.24	11.79	43.86	42.95
	"Stearns County, MN"	"27145"	16154	1276172	12.66	260208	62.08	0.05%	29.25	38.60	38.71	3358.12	11.18	41.19	47.57
	"Washington County, MN"	"27163"	22054	2123686	10.38	390420	56.49	0.07%	31.04	38.53	38.75	3341.28	11.79	44.62	43.15
	"Wright County, MN"	"27171"	14312	1125809	12.71	211879	67.55	0.05%	30.13	38.52	38.71	3401.58	11.33	41.19	44.47
	"Unidentified Counties, MN"	"27999"	175982	15818778	11.12	2769961	63.53	0.59%	28.97	38.53	38.71	3367.65	11.13	43.73	44.38
	"DeSoto County, MS"	"28033"	17527	1483186	11.82	311225	56.32	0.06%	28.08	38.18	38.29	3212.11	10.53	54.38	45.70
	"Harrison County, MS"	"28047"	20561	1662844	12.36	330739	62.17	0.07%	27.64	38.08	38.33	3175.33	11.52	52.44	44.14
	"Hinds County, MS"	"28049"	23176	1832896	12.64	400586	57.86	0.08%	27.19	37.70	37.83	3027.71	12.03	52.74	45.40
	"Jackson County, MS"	"28059"	12633	1149440	10.99	221612	57.01	0.04%	27.50	38.06	38.34	3178.41	11.59	53.46	43.83
	"Rankin County, MS"	"28121"	14033	1244948	11.27	255037	55.02	0.05%	28.34	37.89	38.08	3206.77	12.22	52.14	43.99
	"Unidentified Counties, MS"	"28999"	200754	16358689	12.27	3164897	63.43	0.67%	26.70	37.91	38.09	3127.95	11.50	50.68	43.08
	"Boone County, MO"	"29019"	16026	1461317	10.97	370031	43.31	0.05%	29.31	38.37	38.40	3269.71	10.96	46.36	42.93
	"Clay County, MO"	"29047"	23953	2004058	11.95	405493	59.07	0.08%	29.10	38.39	38.52	3291.49	11.18	46.72	47.26
	"Franklin County, MO"	"29071"	9362	835788	11.20	144283	64.89	0.03%	28.03	38.36	38.64	3314.03	11.47	45.58	45.19
	"Greene County, MO"	"29077"	26589	2367270	11.23	507704	52.37	0.09%	27.81	38.41	38.64	3303.31	11.16	46.75	43.30
	"Jackson County, MO"	"29095"	70952	5651892	12.55	1162909	61.01	0.24%	28.33	38.35	38.44	3223.43	10.30	48.69	50.22
	"Jasper County, MO"	"29097"	12645	975226	12.97	194283	65.09	0.04%	26.70	38.29	38.49	3278.89	10.94	47.45	43.88
	"Jefferson County, MO"	"29099"	19694	1812344	10.87	335014	58.79	0.07%	28.66	38.20	38.38	3291.81	11.05	46.80	41.02
	"St. Charles County, MO"	"29183"	34071	3234273	10.53	622135	54.76	0.11%	30.25	38.31	38.50	3312.86	11.69	45.25	41.80
	"St. Louis County, MO"	"29189"	87088	7955137	10.95	1520429	57.28	0.29%	29.89	38.20	38.32	3211.81	10.95	46.92	41.24
	"St. Louis city, MO"	"29510"	30624	2382731	12.85	551935	55.48	0.10%	28.82	38.12	38.20	3121.21	9.88	47.32	40.66
	"Unidentified Counties, MO"	"29999"	236977	20484224	11.57	3648161	64.96	0.79%	27.32	38.35	38.54	3283.29	10.89	45.35	43.59
	"Missoula County, MT"	"30063"	8733	956015	9.13	214207	40.77	0.03%	29.80	38.51	38.67	3274.58	11.30	46.43	52.27
	"Yellowstone County, MT"	"30111"	14879	1309685	11.36	252605	58.90	0.05%	28.57	38.50	38.62	3276.44	11.54	46.66	51.63
	"Unidentified Counties, MT"	"30999"	67336	6398923	10.52	1125628	59.82	0.23%	28.65	38.48	38.58	3271.99	10.83	44.62	49.48
	"Douglas County, NE"	"31055"	65104	4590029	14.18	959915	67.82	0.22%	29.30	38.23	38.37	3261.61	11.79	46.98	45.36
	"Lancaster County, NE"	"31109"	30224	2556993	11.82	557251	54.24	0.10%	29.35	38.38	38.54	3313.37	10.85	45.24	41.74
	"Sarpy County, NE"	"31153"	19439	1510830	12.87	308665	62.98	0.07%	29.59	38.25	38.46	3320.23	12.08	45.76	42.15
	"Unidentified Counties, NE"	"31999"	85242	6880562	12.39	1185085	71.93	0.29%	28.30	38.44	38.57	3316.52	10.94	45.34	44.71
	"Clark County, NV"	"32003"	206594	18126102	11.40	3658170	56.47	0.69%	29.00	38.30	38.53	3203.02	11.83	53.87	55.70
	"Washoe County, NV"	"32031"	41013	3816698	10.75	744943	55.06	0.14%	29.05	38.40	38.69	3216.56	10.00	51.20	44.16
	"Unidentified Counties, NV"	"32999"	27489	2764043	9.95	440895	62.35	0.09%	27.98	38.34	38.60	3207.68	10.19	50.88	48.66
	"Hillsborough County, NH"	"33011"	33362	3346492	9.97	629568	52.99	0.11%	30.07	38.73	38.91	3334.93	12.06	48.57	44.22
	"Merrimack County, NH"	"33013"	10317	1221304	8.45	220949	46.69	0.03%	30.15	38.79	38.99	3367.79	12.57	47.29	42.00
	"Rockingham County, NH"	"33015"	21712	2496926	8.70	426627	50.89	0.07%	31.31	38.71	38.88	3357.83	12.23	44.54	40.89
	"Strafford County, NH"	"33017"	9320	1046231	8.91	228877	40.72	0.03%	29.86	38.71	38.90	3343.33	11.79	48.76	45.14
	"Unidentified Counties, NH"	"33999"	21935	2835358	7.74	473656	46.31	0.07%	29.27	38.80	38.95	3347.69	12.19	47.65	44.07
	"Atlantic County, NJ"	"34001"	22289	2158770	10.32	389839	57.17	0.07%	29.42	38.52	38.66	3265.14	10.19	55.25	56.16
	"Bergen County, NJ"	"34003"	72955	7551397	9.66	1390118	52.48	0.24%	32.39	38.44	38.58	3251.86	11.20	50.60	50.59
	"Burlington County, NJ"	"34005"	36080	3634748	9.93	655906	55.01	0.12%	30.66	38.53	38.70	3292.65	10.71	50.24	47.36
	"Camden County, NJ"	"34007"	48815	4117101	11.86	808033	60.41	0.16%	29.87	38.44	38.61	3244.61	10.04	52.46	50.94
	"Cumberland County, NJ"	"34011"	14716	1211151	12.15	217174	67.76	0.05%	27.77	38.31	38.46	3195.16	9.89	54.90	48.09
	"Essex County, NJ"	"34013"	80409	6559953	12.26	1340361	59.99	0.27%	30.53	38.39	38.45	3208.51	9.45	59.13	52.90
	"Gloucester County, NJ"	"34015"	23181	2380326	9.74	454070	51.05	0.08%	30.65	38.48	38.63	3300.88	10.61	49.96	47.33
	"Hudson County, NJ"	"34017"	77116	5501045	14.02	1268590	60.79	0.26%	31.28	38.45	38.54	3210.42	10.09	57.50	49.16
	"Hunterdon County, NJ"	"34019"	8029	1013501	7.92	164050	48.94	0.03%	32.47	38.59	38.76	3332.21	11.76	44.24	46.03
	"Mercer County, NJ"	"34021"	32868	2998493	10.96	593737	55.36	0.11%	30.19	38.50	38.66	3245.78	10.67	57.00	49.96
	"Middlesex County, NJ"	"34023"	69834	6743202	10.36	1336963	52.23	0.23%	30.96	38.48	38.66	3228.93	10.69	56.73	49.43
	"Monmouth County, NJ"	"34025"	48122	5042978	9.54	877301	54.85	0.16%	31.76	38.53	38.70	3290.34	11.12	47.44	48.48
	"Morris County, NJ"	"34027"	37730	4011831	9.40	716040	52.69	0.13%	32.47	38.65	38.81	3311.06	11.11	47.31	47.32
	"Ocean County, NJ"	"34029"	75504	4977444	15.17	794585	95.02	0.25%	29.62	38.83	39.00	3336.23	10.89	38.97	50.58
	"Passaic County, NJ"	"34031"	51767	4071518	12.71	804815	64.32	0.17%	29.73	38.28	38.39	3214.19	10.94	57.11	55.93
	"Somerset County, NJ"	"34035"	25257	2699976	9.35	492962	51.24	0.08%	31.97	38.54	38.71	3268.55	10.93	52.73	49.22
	"Sussex County, NJ"	"34037"	10359	1143252	9.06	193543	53.52	0.03%	31.22	38.61	38.80	3341.78	10.97	46.30	50.37
	"Union County, NJ"	"34039"	53430	4503979	11.86	870750	61.36	0.18%	31.03	38.53	38.65	3264.47	10.06	57.92	51.69
	"Warren County, NJ"	"34041"	8030	862994	9.30	149180	53.83	0.03%	30.61	38.52	38.67	3290.29	11.89	48.89	48.53
	"Unidentified Counties, NJ"	"34999"	11559	1259205	9.18	197557	58.51	0.04%	29.13	38.56	38.67	3303.98	10.17	50.81	48.91
	"Bernalillo County, NM"	"35001"	54844	5411701	10.13	1090717	50.28	0.18%	28.76	38.35	38.49	3171.31	9.64	51.41	46.70
	"Dona Ana County, NM"	"35013"	20968	1756820	11.94	374102	56.05	0.07%	27.24	38.34	38.60	3205.24	10.63	53.54	53.04
	"Sandoval County, NM"	"35043"	10801	1186169	9.11	218990	49.32	0.04%	28.94	38.28	38.45	3165.89	9.74	52.08	50.88
	"San Juan County, NM"	"35045"	11180	976404	11.45	190028	58.83	0.04%	27.51	38.53	38.50	3225.83	9.30	52.32	48.22
	"Santa Fe County, NM"	"35049"	9292	1216582	7.64	198516	46.81	0.03%	29.05	38.41	38.64	3106.62	10.60	56.51	50.63
	"Unidentified Counties, NM"	"35999"	73232	6263577	11.69	1132471	64.67	0.25%	27.06	38.36	38.52	3171.00	9.72	50.92	49.94
	"Albany County, NY"	"36001"	23006	2480948	9.27	536803	42.86	0.08%	30.34	38.54	38.59	3274.54	11.83	50.44	43.65
	"Bronx County, NY"	"36005"	149673	11339731	13.20	2456913	60.92	0.50%	29.41	38.41	38.46	3176.14	10.09	64.74	56.21
	"Broome County, NY"	"36007"	14839	1550974	9.57	301341	49.24	0.05%	28.80	38.47	38.64	3283.22	11.24	49.10	45.29
	"Chautauqua County, NY"	"36013"	10189	1017149	10.02	177504	57.40	0.03%	27.41	38.45	38.69	3281.11	10.79	46.22	45.52
	"Dutchess County, NY"	"36027"	20758	2363077	8.78	437889	47.40	0.07%	30.86	38.57	38.78	3306.60	11.24	51.72	51.13
	"Erie County, NY"	"36029"	76124	7449378	10.22	1433252	53.11	0.25%	29.70	38.40	38.58	3249.13	10.73	46.34	42.48
	"Jefferson County, NY"	"36045"	14573	905596	16.09	171529	84.96	0.05%	27.04	38.55	38.83	3313.50	11.27	45.31	38.85
	"Kings County, NY"	"36047"	290395	20752381	13.99	4636994	62.63	0.97%	30.44	38.66	38.73	3236.51	10.80	50.83	48.22
	"Monroe County, NY"	"36055"	61410	5976190	10.28	1185763	51.79	0.21%	29.75	38.50	38.69	3260.48	10.57	49.66	41.05
	"Nassau County, NY"	"36059"	111122	10953963	10.14	1978074	56.18	0.37%	31.92	38.50	38.63	3248.72	12.03	51.95	47.32
	"New York County, NY"	"36061"	124387	12948457	9.61	3160597	39.36	0.42%	32.61	38.57	38.64	3216.41	11.09	50.11	40.09
	"Niagara County, NY"	"36063"	16184	1683186	9.62	298026	54.30	0.05%	28.96	38.41	38.59	3274.12	10.35	48.33	46.41
	"Oneida County, NY"	"36065"	19312	1834791	10.53	323877	59.63	0.06%	28.63	38.47	38.64	3286.13	11.71	47.46	42.57
	"Onondaga County, NY"	"36067"	39446	3722501	10.60	734082	53.74	0.13%	29.50	38.61	38.81	3295.00	12.53	48.88	36.07
	"Ontario County, NY"	"36069"	7760	887168	8.75	153958	50.40	0.03%	29.82	38.60	38.80	3343.77	10.92	46.54	42.34
	"Orange County, NY"	"36071"	42330	3131497	13.52	586578	72.16	0.14%	29.74	38.70	38.92	3301.98	10.10	45.70	57.25
	"Oswego County, NY"	"36075"	9574	942669	10.16	174732	54.79	0.03%	28.06	38.64	38.93	3327.49	12.46	48.59	46.87
	"Queens County, NY"	"36081"	210827	18311589	11.51	3667809	57.48	0.71%	30.81	38.50	38.60	3202.80	11.13	60.51	48.09
	"Rensselaer County, NY"	"36083"	12597	1275446	9.88	245955	51.22	0.04%	29.63	38.59	38.70	3298.66	12.20	49.77	46.89
	"Richmond County, NY"	"36085"	41310	3858436	10.71	734792	56.22	0.14%	30.96	38.49	38.66	3234.68	12.73	52.20	52.04
	"Rockland County, NY"	"36087"	47281	2652413	17.83	476965	99.13	0.16%	29.99	38.94	39.12	3324.74	10.88	42.94	55.60
	"St. Lawrence County, NY"	"36089"	8072	865357	9.33	161000	50.14	0.03%	28.13	38.70	38.93	3338.50	10.55	45.16	42.87
	"Saratoga County, NY"	"36091"	16481	1862113	8.85	332139	49.62	0.06%	30.94	38.67	38.85	3360.28	12.17	45.59	45.42
	"Schenectady County, NY"	"36093"	14341	1254209	11.43	241162	59.47	0.05%	29.50	38.50	38.52	3260.00	11.42	49.27	43.81
	"Suffolk County, NY"	"36103"	123481	11992482	10.30	2162409	57.10	0.41%	31.04	38.42	38.57	3264.23	11.14	53.69	48.04
	"Tompkins County, NY"	"36109"	5638	829201	6.80	216191	26.08	0.02%	30.75	38.82	38.96	3339.76	11.78	46.43	43.20
	"Ulster County, NY"	"36111"	11944	1440133	8.29	257623	46.36	0.04%	30.16	38.69	38.89	3319.38	10.73	51.37	55.21
	"Westchester County, NY"	"36119"	79912	7834845	10.20	1454710	54.93	0.27%	32.05	38.52	38.60	3257.80	11.04	53.78	51.76
	"Unidentified Counties, NY"	"36999"	140297	14895634	9.42	2558538	54.83	0.47%	28.66	38.65	38.88	3335.69	11.45	47.09	45.44
	"Alamance County, NC"	"37001"	15225	1358765	11.21	272460	55.88	0.05%	28.44	38.33	38.56	3240.89	11.30	54.44	51.13
	"Brunswick County, NC"	"37019"	8447	1143696	7.39	152478	55.40	0.03%	28.44	38.41	38.65	3267.95	11.50	54.46	50.48
	"Buncombe County, NC"	"37021"	19481	2118490	9.20	410667	47.44	0.07%	29.80	38.42	38.70	3246.34	12.83	52.44	61.07
	"Cabarrus County, NC"	"37025"	20746	1764827	11.76	355750	58.32	0.07%	29.29	38.33	38.54	3240.97	11.57	52.92	47.43
	"Catawba County, NC"	"37035"	13285	1282773	10.36	231073	57.49	0.04%	27.97	38.43	38.69	3267.53	13.35	51.75	53.14
	"Craven County, NC"	"37049"	10554	816246	12.93	145362	72.60	0.04%	27.32	38.46	38.64	3254.26	11.90	50.52	45.86
	"Cumberland County, NC"	"37051"	42541	2673973	15.91	576719	73.76	0.14%	27.34	38.30	38.65	3213.67	11.07	51.41	46.60
